query,domain,domain_architecture,protein_id,length,domain_count
tr|G0RVI0|G0RVI0_HYPJQ,['GH20'],GH20,tr|G0RVI0|G0RVI0_HYPJQ,603,1
tr|G0RRQ7|G0RRQ7_HYPJQ,['AA1_2'],AA1_2,tr|G0RRQ7|G0RRQ7_HYPJQ,600,1
tr|G0RQW4|G0RQW4_HYPJQ,['AA3_2'],AA3_2,tr|G0RQW4|G0RQW4_HYPJQ,594,1
tr|G0RFI9|G0RFI9_HYPJQ,['AA7'],AA7,tr|G0RFI9|G0RFI9_HYPJQ,587,1
tr|G0RDP2|G0RDP2_HYPJQ,['GH20'],GH20,tr|G0RDP2|G0RDP2_HYPJQ,582,1
tr|G0R9J4|G0R9J4_HYPJQ,['AA7'],AA7,tr|G0R9J4|G0R9J4_HYPJQ,580,1
sp|G0R6T3|SORD_HYPJQ,['AA7'],AA7,sp|G0R6T3|SORD_HYPJQ,574,1
tr|G0RII9|G0RII9_HYPJQ,['AA7'],AA7,tr|G0RII9|G0RII9_HYPJQ,571,1
tr|G0RWA0|G0RWA0_HYPJQ,['AA2'],AA2,tr|G0RWA0|G0RWA0_HYPJQ,553,1
tr|G0RAB5|G0RAB5_HYPJQ,['GH125'],GH125,tr|G0RAB5|G0RAB5_HYPJQ,545,1
tr|G0RBB5|G0RBB5_HYPJQ,['GH47'],GH47,tr|G0RBB5|G0RBB5_HYPJQ,523,1
tr|G0RVK1|G0RVK1_HYPJQ,['GH7'],GH7,tr|G0RVK1|G0RVK1_HYPJQ,514,1
tr|G0RPG4|G0RPG4_HYPJQ,['AA7'],AA7,tr|G0RPG4|G0RPG4_HYPJQ,510,1
tr|G0RPG1|G0RPG1_HYPJQ,['AA7'],AA7,tr|G0RPG1|G0RPG1_HYPJQ,502,1
tr|G0RWL7|G0RWL7_HYPJQ,['GH125'],GH125,tr|G0RWL7|G0RWL7_HYPJQ,501,1
tr|G0RA73|G0RA73_HYPJQ,['GH27'],GH27,tr|G0RA73|G0RA73_HYPJQ,496,1
tr|G0RQ44|G0RQ44_HYPJQ,['GH27'],GH27,tr|G0RQ44|G0RQ44_HYPJQ,496,1
tr|G0RCS3|G0RCS3_HYPJQ,['GH18'],GH18,tr|G0RCS3|G0RCS3_HYPJQ,492,1
tr|G0RE86|G0RE86_HYPJQ,['GH30_3'],GH30_3,tr|G0RE86|G0RE86_HYPJQ,490,1
tr|G0R916|G0R916_HYPJQ,['GH79'],GH79,tr|G0R916|G0R916_HYPJQ,488,1
tr|G0R7Q4|G0R7Q4_HYPJQ,['GT22'],GT22,tr|G0R7Q4|G0R7Q4_HYPJQ,486,1
tr|G0RVA9|G0RVA9_HYPJQ,['AA7'],AA7,tr|G0RVA9|G0RVA9_HYPJQ,485,1
tr|G0RK71|G0RK71_HYPJQ,['GH5_31'],GH5_31,tr|G0RK71|G0RK71_HYPJQ,481,1
tr|G0RT76|G0RT76_HYPJQ,['GH30_5'],GH30_5,tr|G0RT76|G0RT76_HYPJQ,479,1
tr|G0RJJ2|G0RJJ2_HYPJQ,['GH72'],GH72,tr|G0RJJ2|G0RJJ2_HYPJQ,478,1
tr|G0RM16|G0RM16_HYPJQ,['AA8'],AA8,tr|G0RM16|G0RM16_HYPJQ,477,1
